make,model,year,mileage,fuelType,engineCapacity,price
Dacia,Duster,2012,173 000 km,Diesel,1 461 cm3,6 990
Audi,A3,2010,102 384 km,Benzina,1 390 cm3,8 950
Mini,Cooper,2009,279 000 km,Diesel,1 600 cm3,4 699
Opel,Corsa,2007,142 000 km,Benzina,1 200 cm3,3 499
Ford,C-MAX,2004,335 000 km,Diesel,1 600 cm3,2 499
Skoda,Superb,2016,122 948 km,Diesel,1 968 cm3,14 989
Honda,Civic,2008,188 000 km,Benzina,1 400 cm3,4 699
Audi,A4,2009,297 000 km,Benzina,1 800 cm3,6 999
Volkswagen,Passat,2010,205 936 km,Diesel,1 968 cm3,5 690
BMW,Seria 1,2009,204 000 km,Diesel,1 995 cm3,4 490
Volkswagen,Tiguan,2017,1 009 500 km,Diesel,1 968 cm3,26 763
Ford,Mondeo,2008,246 354 km,Diesel,1 997 cm3,2 690
BMW,Seria 3,2007,238 000 km,Diesel,1 995 cm3,5 699
Volkswagen,Passat,2009,270 000 km,Benzina,1 798 cm3,4 599
Renault,Megane,2017,33 560 km,Diesel,1 461 cm3,13 970
BMW,Seria 5,2017,98 887 km,Diesel,1 995 cm3,26 989
Volkswagen,Passat,2007,300 000 km,Diesel,1 968 cm3,3 950
Mercedes-Benz,C,2018,38 000 km,Benzina,1 595 cm3,24 890
Peugeot,508,2011,245 120 km,Diesel,1 560 cm3,5 750
Mitsubishi,ASX,2012,172 865 km,Diesel,1 798 cm3,8 200
Ford,Focus,2016,88 995 km,Diesel,1 498 cm3,8 189
BMW,Seria 5,2013,210 000 km,Diesel,2 995 cm3,21 000
Opel,Antara,2014,60 725 km,Diesel,2 231 cm3,10 300
Mitsubishi,ASX,2016,222 000 km,Diesel,2 268 cm3,11 999
BMW,X5,2015,25 000 km,Diesel,2 993 cm3,33 500
Volkswagen,Passat,2009,296 000 km,Diesel,1 968 cm3,4 499
Mercedes-Benz,C,2008,172 000 km,Benzina,1 796 cm3,6 799
Volkswagen,Golf,2009,155 000 km,Benzina,1 400 cm3,4 999
Audi,Q3,2012,214 000 km,Diesel,1 968 cm3,12 490
Audi,A4,2017,190 000 km,Diesel,1 968 cm3,15 790
Audi,Q3,2016,197 000 km,Diesel,1 968 cm3,14 990
Jaguar,S-Type,2007,200 000 km,Diesel,2 720 cm3,4 900
Volvo,V40,2018,190 000 km,Diesel,1 969 cm3,11 790
Mitsubishi,ASX,2012,180 000 km,Diesel,1 798 cm3,7 499
Volkswagen,Touran,2011,247 000 km,Diesel,1 598 cm3,6 490
Mercedes-Benz,GLC,2016,265 650 km,Diesel,2 143 cm3,23 099
BMW,Seria 3,2011,179 500 km,Diesel,1 995 cm3,8 400
BMW,Seria 3,2008,210 000 km,Diesel,1 995 cm3,7 400
Audi,A4,2008,240 000 km,Diesel,1 896 cm3,4 900
BMW,X3,2008,120 000 km,Diesel,1 995 cm3,6 980
Mercedes-Benz,E,2017,67 650 km,Diesel,1 950 cm3,27 953
BMW,Seria 6,2011,123 000 km,Diesel,2 993 cm3,31 000
Mercedes-Benz,E,2019,21 870 km,Hibrid,1 950 cm3,44 613
Volkswagen,Golf,2017,150 000 km,Diesel,1 598 cm3,11 300
Honda,Accord,2009,202 000 km,Benzina,1 998 cm3,5 650
Ford,Mondeo,2016,100 000 km,Diesel,1 997 cm3,14 200
